id,name,team,role,battingStyle,bowlingStyle
9b3bcca4,A Wellington,Adelaide Strikers,Batsman,,
7dfbcfff,BE Patterson,Adelaide Strikers,Batsman,,
d4188b60,CM Edwards,Adelaide Strikers,Batsman,,
a139c379,DN Wyatt,Melbourne Renegades,Bowler,,
f0b4e47d,G Wareham,Melbourne Renegades,Batsman,,
72166006,GM Harris,Melbourne Renegades,Batsman,,
b9e15440,KL Britt,Melbourne Renegades,Batsman,,
60471339,LMM Tahuhu,Melbourne Renegades,Bowler,,
78bec461,M Brown,Melbourne Renegades,Batsman,,
f57d5dbb,M Strano,Melbourne Renegades,Bowler,,
17608a6f,ML Schutt,Adelaide Strikers,Batsman,,
29ed56ec,NA Plane,Melbourne Renegades,Batsman,,
4241dc19,NM Goodwin,Melbourne Renegades,Bowler,,
e6f0408a,RH Priest,Melbourne Renegades,Batsman,,
99e23670,S Molineux,Melbourne Renegades,Bowler,,
3032933c,S Nitschke,Adelaide Strikers,Batsman,,
de69af96,SFM Devine,Adelaide Strikers,Batsman,,
a5f488bc,SJ Coyte,Adelaide Strikers,Batsman,,
595e1ee7,TJ McPharlin,Adelaide Strikers,Batsman,,
ca5acfa4,TM McGrath,Adelaide Strikers,Batsman,,
b2664905,TT Beaumont,Adelaide Strikers,Batsman,,
c631b3f7,WD Hendricks,Unknown,Unknown,,
ece549e3,G Stubbings,Unknown,Unknown,,
2a96701e,GE Reed,Unknown,Unknown,,
97e5350a,Marc Nickl,Unknown,Unknown,,
72b7ed1e,AE Satterthwaite,Hobart Hurricanes,Bowler,,
df04fc4f,B Hepburn,Hobart Hurricanes,Bowler,,
276f3dde,C Piparo,Perth Scorchers,Batsman,,
6026e2ae,CL Hall,Hobart Hurricanes,Batsman,,
d2abb394,E Biss,Perth Scorchers,Bowler,,
a7c3c366,E Thompson,Hobart Hurricanes,Batsman,,
2e0b6638,EA Burns,Hobart Hurricanes,Batsman,,
cde96d97,EJ Villani,Perth Scorchers,Batsman,,
2708b41c,EL King,Perth Scorchers,Bowler,,
324b9eee,G Redmayne,Hobart Hurricanes,Batsman,,
99812d10,H Graham,Perth Scorchers,Batsman,,
4ba0289e,HC Knight,Hobart Hurricanes,Batsman,,
d32cf49a,HK Matthews,Hobart Hurricanes,Bowler,,
0d19fa13,K Fryett,Hobart Hurricanes,Bowler,,
6a434bd3,KH Brunt,Perth Scorchers,Batsman,,
884375bf,LK Ebsary,Perth Scorchers,Batsman,,
90eb1818,M Banting,Perth Scorchers,Unknown,,
dd883071,NE Bolton,Perth Scorchers,Batsman,,
e149d0ae,RL Grundy,Perth Scorchers,Bowler,,
a0bc8dc1,SK Moloney,Hobart Hurricanes,Batsman,,
89bbc67a,SW Bates,Perth Scorchers,Batsman,,
cb937b2d,V Pyke,Hobart Hurricanes,Bowler,,
83558266,A King,Melbourne Stars,Batsman,,
b9164a9b,AJ Blackwell,Sydney Thunder,Batsman,,
06f988b8,B Vakarewa,Sydney Thunder,Bowler,,
0f00b4d7,CJ Koski,Sydney Thunder,Batsman,,
ea8b65ab,D Hazell,Melbourne Stars,Batsman,,
a0e886e0,D Young,Unknown,Unknown,,
437068a1,E Kearney,Melbourne Stars,Batsman,,
fe731c62,EA Osborne,Sydney Thunder,Bowler,,
b0ca6975,EJ Inglis,Melbourne Stars,Batsman,,
207ba61e,GL Triscari,Melbourne Stars,Bowler,,
53cd8da6,H Kaur,Sydney Thunder,Bowler,,
b8cce99f,HNK Jensen,Melbourne Stars,Batsman,,
5ebc3941,JE Cameron,Melbourne Stars,Batsman,,
ef13bd20,KM Mack,Melbourne Stars,Batsman,,
80f7522f,Kumar Jeyakkumar,Unknown,Unknown,,
ad061133,L Bardsley,Melbourne Stars,Batsman,,
e2410b5e,MJG Nielsen,Melbourne Stars,Batsman,,
27e003ce,MM Lanning,Melbourne Stars,Batsman,,
609c519e,NE Stalenberg,Sydney Thunder,Batsman,,
dff806f4,NJ Carey,Sydney Thunder,Bowler,,
d7c6b0fb,RL Haynes,Sydney Thunder,Batsman,,
4ed7d23f,RM Farrell,Sydney Thunder,Bowler,,
0816fb1e,SL Bates,Sydney Thunder,Bowler,,
92cf79a8,SR Taylor,Sydney Thunder,Batsman,,
b91cd1a6,Terry Keel,Unknown,Unknown,,
d264c880,RG Patterson,Unknown,Unknown,,
bc969efb,A Gardner,Sydney Sixers,Batsman,,
321644de,AJ Healy,Sydney Sixers,Batsman,,
13781d43,AR Reakes,Sydney Sixers,Batsman,,
8c5775f3,D van Niekerk,Sydney Sixers,Batsman,,
a6d06180,EA Leys,Sydney Sixers,Batsman,,
be150fc8,EA Perry,Sydney Sixers,Batsman,,
8cc171e7,Kent Hannam,Unknown,Unknown,,
6bb7a785,LC Sthalekar,Sydney Sixers,Batsman,,
9c515112,LG Smith,Sydney Sixers,Bowler,,
63e3b6b3,M Kapp,Sydney Sixers,Batsman,,
5be043df,SE Aley,Sydney Sixers,Batsman,,
af71535d,SJ McGlashan,Sydney Sixers,Batsman,,
0aa42c26,Troy Penman,Unknown,Unknown,,
52d1dbc8,BL Mooney,Brisbane Heat,Batsman,,
53bee17f,DJS Dottin,Brisbane Heat,Batsman,,
d693012d,DM Kimmince,Brisbane Heat,Batsman,,
852820e3,H Birkett,Brisbane Heat,Batsman,,
a594a6e0,HL Ferling,Brisbane Heat,Batsman,,
e6c8bace,Hennie Botes,Unknown,Unknown,,
47bcaf7a,JL Barsby,Brisbane Heat,Batsman,,
0475a86b,JL Jonassen,Brisbane Heat,Batsman,,
a1786c35,John Taylor,Unknown,Unknown,,
712bd44c,KL Short,Brisbane Heat,Batsman,,
507acf2e,P Cleary,Perth Scorchers,Bowler,,
5d2eda89,S Mandhana,Brisbane Heat,Batsman,,
d7b754d4,SJ Johnson,Brisbane Heat,Batsman,,
7fb35eba,T Cooper,Brisbane Heat,Batsman,,
16f16957,Terry Prue,Unknown,Unknown,,
28aba384,C Raack,Hobart Hurricanes,Bowler,,
98797fb4,K Sutherland,Brisbane Heat,Bowler,,
6e66e70b,RA Dunbar,Unknown,Unknown,,
512226fb,Steven Farrell,Unknown,Unknown,,
36e2dc83,L Harris,Brisbane Heat,Batsman,,
ac886e6f,SE Dionysius,Unknown,Unknown,,
d4c0dc60,Ian Thomas,Unknown,Unknown,,
27fa592f,ML Gibson,Sydney Thunder,Bowler,,
397cf8e4,Anthony Hobson,Unknown,Unknown,,
d3b4b8ed,IMHC Joyce,Hobart Hurricanes,Batsman,,
110839f2,JL Hunter,Hobart Hurricanes,Bowler,,
216ae65f,M Phillips,Hobart Hurricanes,Batsman,,
32497ecd,A Shrubsole,Perth Scorchers,Bowler,,
6ce9da23,KD Perrin,Unknown,Unknown,,
97d86043,KJ Hartshorn,Perth Scorchers,Bowler,,
13f8d4b5,SJ Elliott,Adelaide Strikers,Batsman,,
f3a18a0c,NR Sciver,Melbourne Stars,Batsman,,
2ef9bdcb,T Saville,Adelaide Strikers,Batsman,,
275dff85,L Cheatle,Sydney Thunder,Bowler,,
3812165d,M Hinkley,Sydney Thunder,Batsman,,
309212aa,R Irvine,Brisbane Heat,Batsman,,
65d9b6b6,A Sutherland,Melbourne Renegades,Unknown,,
05911fef,EJ Smith,Perth Scorchers,Batsman,,
41fc1ece,BB Chari,Zimbabwe,Batsman,,
76752ac8,MA Gough,Unknown,Unknown,,
aed55673,MT Chinouya,Zimbabwe,Batsman,,
c4d740b3,PS Masvaure,Zimbabwe,Batsman,,
2f0d7e4a,RW Chakabva,Zimbabwe,Batsman,,
024a173d,J Nyumbu,Zimbabwe,Bowler,,
3fb197cd,TMK Mawoyo,Zimbabwe,Batsman,,
59ddd811,NE Bonner,Jamaica Tallawahs,Batsman,,
0077eaa3,GD Pope,St Lucia Zouks,Batsman,,
c1e32d91,WL Mitchum,Unknown,Unknown,,
f2665768,A Phillip,Trinbago Knight Riders,Bowler,,
7cfb697c,JA Foo,Jamaica Tallawahs,Batsman,,
c6097d68,O Thomas,Jamaica Tallawahs,Bowler,,
d09891ad,Danesh Ramdhanie,Unknown,Unknown,,
92b925f7,K Ramsaran,St Lucia Zouks,Unknown,,
b3bad3f2,NR Kumar,St Lucia Zouks,Bowler,,
1f1345e7,K Kowlessar,Unknown,Unknown,,
1013ace8,PG Wintz,Guyana Amazon Warriors,Bowler,,
99ed60f8,JPR Scantlebury-Searles,Trinbago Knight Riders,Batsman,,
8e088dbc,GF Labrooy,Unknown,Unknown,,
9dc3ea7e,H Hiri,Papua New Guinea,Batsman,,
63896abb,Sharfuddoula,Unknown,Unknown,,
2259c12d,Tabarak Dar,Unknown,Unknown,,
ec29da98,Z Nizami,Unknown,Unknown,,
4b594b43,IA Thomson,Unknown,Unknown,,
bf2d865c,JJ Atkinson,Hong Kong,Batsman,,
65122d56,K Christie,Hong Kong,Batsman,,
1fc6ef83,SD Hope,West Indies,Batsman,,
ccdd8308,ST Finn,England,Bowler,,
6ef13460,A Balbirnie,Ireland,Batsman,,
a48fc79d,EC Joyce,Ireland,Batsman,,
05de1a5a,GC Wilson,Ireland,Batsman,,
84826f48,NJ O'Brien,Ireland,Batsman,,
cf494ffe,PR Stirling,Ireland,Batsman,,
6bd04fa5,RJ Bailey,Unknown,Unknown,,
b143c87d,RT Robinson,Unknown,Unknown,,
c89474d1,TJ Murtagh,Ireland,Batsman,,
3766056b,BJ McCarthy,Ireland,Bowler,,
affbf093,Anisur Rahman,Unknown,Unknown,,
5f26f677,BM Duckett,England,Batsman,,
8eb611d0,Mosharraf Hossain,Bangladesh,Bowler,,
1a8eebbe,Shafiul Islam,Bangladesh,Bowler,,
6eea0b32,Nasir Hossain,Bangladesh,Batsman,,
4a461c24,LA Dawson,Unknown,Bowler,,
9581ac6b,Masudur Rahman,Unknown,Unknown,,
f41598c1,AN Cook,England,Batsman,,
5ac8f17b,GJ Batty,England,Batsman,,
755a77c6,GS Ballance,England,Batsman,,
bb01f9e0,Shuvagata Hom,Bangladesh,Batsman,,
7b1e20ea,ZS Ansari,England,Bowler,,
fdcc6236,AK Chaudhary,Unknown,Unknown,,
012de9c4,CK Nandan,Unknown,Unknown,,
c8574282,MD Craig,New Zealand,Bowler,,
e1d41d9e,Nitin Menon,Unknown,Unknown,,
bb345e0b,G Gambhir,India,Batsman,,
2e9fdf9b,DAJ Bracewell,New Zealand,Batsman,,
81049310,J Yadav,India,Batsman,,
6c6aca89,TS Roland-Jones,England,Batsman,,
f0a0204e,MS Crane,England,Bowler,,
17c7ff26,PJ Hartley,Unknown,Unknown,,
112b8472,JW Lloyds,Unknown,Unknown,,
50c6bc2b,LS Livingstone,England,Batsman,,
e86754b2,TK Curran,England,Bowler,,
ad9c32a2,DJ Malan,England,Batsman,,
46ecfe40,DJ Millns,Unknown,Unknown,,
d12143bf,JM Anderson,England,Batsman,,
8479a24a,KK Jennings,England,Batsman,,
2e0fcc58,AG Wharf,Unknown,Unknown,,
3b5dfcd4,NA Mallender,Unknown,Unknown,,
25a42048,T Westley,England,Batsman,,
78eb4223,KAJ Roach,West Indies,Bowler,,
1b77f62b,MD Stoneman,England,Batsman,,
772fe461,NGB Cook,Unknown,Unknown,,
c7f6dd3b,SW Ambris,West Indies,Batsman,,
ea123ee4,M Hawthorne,Unknown,Unknown,,
51a36d3e,GH Worker,New Zealand,Batsman,,
fef92afc,SC Kuggeleijn,New Zealand,Batsman,,
69c994e4,SHA Rance,New Zealand,Bowler,,
94238673,HK Bennett,New Zealand,Bowler,,
